Date,Open,High,Low,Close,Adj Close,Volume
2023-06-06,3289.000000,3289.000000,3221.399902,3234.149902,3163.297852,150482
2023-06-07,3237.050049,3278.800049,3237.050049,3274.600098,3202.861328,109708
2023-06-08,3269.949951,3270.000000,3233.100098,3236.149902,3165.253906,63206
2023-06-09,3245.050049,3249.949951,3207.000000,3210.449951,3140.116699,137471
2023-06-12,3210.050049,3254.300049,3210.050049,3248.550049,3177.382324,95226
2023-06-13,3256.000000,3265.000000,3240.600098,3243.800049,3172.736328,111746
2023-06-14,3241.050049,3255.750000,3226.000000,3251.750000,3180.511963,120224
2023-06-15,3240.050049,3245.449951,3211.000000,3216.250000,3169.180420,133137
2023-06-16,3203.949951,3203.949951,3156.199951,3175.250000,3128.780518,151310
2023-06-19,3175.300049,3215.000000,3173.000000,3209.649902,3162.677002,88241
2023-06-20,3214.000000,3232.000000,3201.600098,3227.199951,3179.969971,55192
2023-06-21,3240.050049,3261.000000,3224.500000,3257.449951,3209.777588,34640
2023-06-22,3265.949951,3267.000000,3231.850098,3238.850098,3191.449707,85493
2023-06-23,3236.000000,3247.000000,3209.000000,3217.449951,3170.362793,169294
2023-06-26,3202.000000,3210.250000,3172.449951,3189.899902,3143.216064,115935
2023-06-27,3200.000000,3209.699951,3183.000000,3196.600098,3149.818115,66914
2023-06-28,3203.050049,3231.000000,3193.199951,3214.750000,3167.702148,46412
2023-06-30,3215.000000,3309.600098,3215.000000,3300.500000,3252.197266,128775
2023-07-03,null,null,null,null,null,null
2023-07-04,null,null,null,null,null,null
2023-07-05,null,null,null,null,null,null
2023-07-06,null,null,null,null,null,null
2023-07-07,3300.850098,3356.399902,3300.850098,3325.699951,3277.028809,60304
2023-07-10,3326.100098,3326.100098,3265.000000,3272.300049,3224.410156,37435
2023-07-11,null,null,null,null,null,null
2023-07-12,null,null,null,null,null,null
2023-07-13,null,null,null,null,null,null
2023-07-14,3360.300049,3524.000000,3352.050049,3512.000000,3460.602051,392060
2023-07-17,3512.000000,3549.000000,3477.500000,3491.949951,3440.845703,76509
2023-07-18,null,null,null,null,null,null
2023-07-19,3495.050049,3516.000000,3446.199951,3471.000000,3420.202148,94660
2023-07-20,3457.000000,3478.500000,3436.000000,3462.350098,3420.548096,72310
2023-07-21,3423.949951,3435.000000,3357.699951,3369.600098,3328.917969,88718
2023-07-24,3374.000000,3413.399902,3371.000000,3394.199951,3353.220703,71143
2023-07-25,null,null,null,null,null,null
2023-07-26,3385.050049,3421.750000,3384.899902,3387.000000,3346.107666,21902
2023-07-27,null,null,null,null,null,null
2023-07-28,3389.850098,3389.850098,3331.000000,3355.350098,3314.840088,97335
2023-07-31,null,null,null,null,null,null
2023-08-01,null,null,null,null,null,null
2023-08-02,null,null,null,null,null,null
2023-08-03,3425.000000,3432.699951,3367.300049,3399.699951,3358.654541,89034
